Demand ID,Role Status,Region,Project Name,Project Type,Demand Received Date,Track,Location Shore,Primary Skill (Must have),Grade,Role Start Date,Role End Date,Number of FTE
7758,Staffed,NA,"Dickerson, Sandoval and Rocha",Impl,2024-09-13,FIN,Offshore,"Core HR,Talent",G8,2025-05-06,2026-04-09,0.9
7981,Staffed,AMEA,"Mcconnell, Long and Arellano",CEMS,2024-10-27,HCM,Onsite,Redwood HCM - Core HR and ORC,T2,2024-12-30,2026-01-27,0.8
4576,Staffed,EUK,"Diaz, Miles and Hart",CEMS,2024-06-28,HCM,Onsite,Redwood HCM - Core HR and ORC,G6,2025-04-11,2026-02-02,0.8
2059,Open,EUK,Mckay-Kim,CEMS,2024-02-11,FIN,Offshore,Redwood HCM - Core HR and ORC,G5,2025-02-04,2026-09-15,0.5
9800,Staffed,AMEA,Brown-Singleton,CEMS,2024-01-21,HCM,Onsite,"Core HR,Talent",G5,2025-07-26,2026-02-20,0.6
7716,Staffed,NA,"Farmer, Warren and Hicks",Impl,2024-03-07,HCM,Offshore,Onboarding Journeys,G10,2024-12-22,2026-03-08,0.6
6617,Staffed,EUK,Peterson-Lloyd,Impl,2024-06-29,HCM,Offshore,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2025-04-10,2026-02-03,0.7
7029,Staffed,EUK,"Chandler, Clark and Hunter",CEMS,2024-01-01,FIN,Offshore,Onboarding Journeys,G8,2025-09-16,2026-05-25,0.9
4258,Open,NA,"Young, Robertson and Pacheco",Impl,2024-05-16,FIN,Offshore,Onboarding Journeys,G5,2025-01-21,2026-09-06,0.8
6927,Open,NA,Bowers-Jones,CEMS,2024-09-25,HCM,Offshore,Onboarding Journeys,T2,2025-08-31,2026-01-17,0.8
8026,Open,AMEA,Baker-Williams,Impl,2024-02-13,HCM,Onsite,Onboarding Journeys,G5,2025-09-15,2026-10-08,0.8
6274,Open,NA,"Harris, Jackson and Hull",CEMS,2024-09-12,HCM,Offshore,Core HR & Payroll,G5,2025-07-02,2026-10-07,0.6
8364,Open,EUK,Smith-Hampton,Impl,2024-11-28,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",T2,2024-12-22,2026-04-27,1.0
1631,Staffed,EUK,Walker LLC,Impl,2024-06-21,HCM,Onsite,Redwood HCM - Core HR and ORC,G10,2025-04-17,2026-09-01,0.5
8829,Staffed,NA,Cain LLC,Impl,2024-02-16,FIN,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G8,2025-05-11,2026-12-12,0.6
8432,Staffed,EUK,Perez-Osborne,CEMS,2023-12-20,FIN,Onsite,Core HR & Payroll,G6,2025-01-14,2026-06-02,0.6
1372,Open,EUK,Miller LLC,Impl,2024-03-05,FIN,Offshore,Onboarding Journeys,G8,2025-10-06,2026-03-12,0.5
5969,Open,AMEA,Freeman and Sons,CEMS,2024-11-26,HCM,Offshore,Onboarding Journeys,T2,2025-06-18,2026-10-21,0.8
6465,Open,NA,"Roberts, Davis and Hodges",Impl,2024-04-01,HCM,Offshore,Redwood HCM - Core HR and ORC,G10,2025-06-16,2026-06-18,0.8
5813,Open,EUK,Garcia-Macdonald,CEMS,2024-01-24,FIN,Offshore,Redwood HCM - Core HR and ORC,G6,2025-11-03,2026-06-12,0.6
6553,Open,AMEA,Smith and Sons,CEMS,2024-07-04,HCM,Offshore,Redwood HCM - Core HR and ORC,G10,2025-03-26,2026-06-06,0.5
6855,Staffed,AMEA,Andersen LLC,CEMS,2024-04-09,FIN,Onsite,Core HR & Payroll,G10,2025-12-02,2026-10-18,0.6
5452,Staffed,EUK,"Combs, Galvan and Elliott",CEMS,2024-10-31,FIN,Offshore,Onboarding Journeys,G10,2025-02-18,2026-01-22,0.6
7864,Staffed,AMEA,Rodriguez-Gonzales,CEMS,2024-06-10,HCM,Offshore,Core HR & Payroll,G8,2025-07-16,2026-11-18,0.9
9790,Open,NA,"Avila, Davidson and Ponce",CEMS,2024-01-05,HCM,Offshore,Onboarding Journeys,T2,2025-02-19,2026-06-19,0.8
6882,Open,AMEA,"Walker, Parker and Miller",Impl,2024-06-09,HCM,Onsite,"ORC, Core HR, Absence, Benefits, Talent and Compensation.",G6,2025-08-05,2026-09-15,0.8
